2020-06-04 09:12:53 status half-configured remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:53 status unpacked remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:53 status half-installed remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:53 status half-installed remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:53 status unpacked remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:53 status unpacked remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:54 upgrade remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:54 status half-configured remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:54 status unpacked remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:54 status half-installed remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:54 status triggers-pending gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-06-04 09:12:54 status triggers-pending desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-06-04 09:12:54 status triggers-pending mime-support:all 3.60ubuntu1
2020-06-04 09:12:54 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2020-06-04 09:12:54 status triggers-pending shared-mime-info:amd64 1.9-2
2020-06-04 09:12:55 status half-installed remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:55 status unpacked remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:55 status unpacked remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:55 upgrade remmina-common:all 1.2.0-rcgit.29+dfsg-1ubuntu1.1 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:55 status half-configured remmina-common:all 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:55 status unpacked remmina-common:all 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:55 status half-installed remmina-common:all 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:55 status triggers-pending hicolor-icon-theme:all 0.17-2
2020-06-04 09:12:56 status half-installed remmina-common:all 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-04 09:12:56 status unpacked remmina-common:all 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:56 status unpacked remmina-common:all 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:56 startup packages configure
2020-06-04 09:12:56 configure remmina-common:all 1.2.0-rcgit.29+dfsg-1ubuntu1.2 <none>
2020-06-04 09:12:56 status unpacked remmina-common:all 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:56 status half-configured remmina-common:all 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:57 status installed remmina-common:all 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:57 configure remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2 <none>
2020-06-04 09:12:57 status unpacked remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:57 status half-configured remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:57 status installed remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:57 configure remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2 <none>
2020-06-04 09:12:57 status unpacked remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
2020-06-04 09:12:57 status half-configured remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.2
